TipLabel,male_seasonal_colour,female_seasonal_colour,mating_system,paternal_care,sexual_dichromatism,log_mass,percent_ground_forage,percent_tree_cover,precipitation_seasonality,temperature_seasonality,migration,research_effort
Bombycilla_japonica,0,0,0,1,16.2712317,1.626340367,0,42,0.512825549,0.026994904,2,1
Hypocolius_ampelinus,0,0,0,1,75.74446598,1.726727209,50,5,0.624807835,0.014297115,1,2
Phainopepla_nitens,0,0,0,1,93.37768122,1.344392274,0,5,0.514243364,0.009015198,1,2
Phainoptila_melanoxantha,0,0,0,1,87.4115188,1.748188027,0,55,0.34310165,0.000773862,0,1
Ptilogonys_caudatus,0,0,0,1,58.60340943,1.559906625,0,53,0.351180762,0.000762942,0,1
Ptilogonys_cinereus,0,0,NA,1,31.51091534,1.526339277,0,34,0.617511272,0.003376307,0,1
Callaeas_cinereus,0,0,0,1,6.579078409,2.353146546,0,63,0.145368502,0.005142723,0,1
Philesturnus_carunculatus,0,0,0,1,14.01759741,1.874771637,40,17,0.162981033,0.004739879,0,2
Campephaga_flava,0,0,0,1,158.1049726,1.509202522,80,31.5,0.736546755,0.002291412,0,1
Campephaga_lobata,0,0,NA,1,42.47378707,1.519827994,0,34,0.394566476,0.001422502,0,0
Campephaga_oriolina,0,0,NA,1,34.16637097,1.486713776,0,80,0.257124245,0.000989047,0,0
Campephaga_petiti,0,0,NA,1,159.4858831,1.496237545,0,63,0.500997186,0.001098385,0,1
Campephaga_phoenicea,0,0,0,1,121.8821832,1.432969291,40,18,0.771296114,0.002561414,1,1
Campephaga_quiscalina,0,0,0,1,190.7776543,1.537819095,0,48,0.463085055,0.001544231,0,1
Campochaera_sloetii,0,0,NA,1,58.70110185,1.612783857,0,69.5,0.145931795,0.000591574,0,1
Coracina_abbotti,0,0,NA,1,19.80413835,1.83225337,0,72,0.204534419,0.000402326,0,0
Coracina_analis,0,0,NA,1,10.87056763,1.921686475,10,46,0.317150265,0.003244058,0,0
Coracina_atriceps,0,0,NA,1,98.79619053,2.1430148,0,54,0.211030237,0.000803414,0,0
Coracina_azurea,0,0,NA,1,56.51952494,1.663700925,0,73,0.323912412,0.001174213,0,1
Coracina_bicolor,0,0,NA,1,115.0198115,1.83225337,0,59,0.198949896,0.000403796,0,0
Coracina_boyeri,0,0,0,1,125.5320255,1.822168079,0,75,0.169772327,0.000740483,0,1
Coracina_caeruleogrisea,0,0,0,1,18.71891844,2.141449773,0,76,0.156764641,0.000590239,0,0
Coracina_caesia,0,0,0,1,95.99778164,1.674861141,0,24,0.469164759,0.002093637,0,1
Coracina_caledonica,0,0,NA,1,18.29165363,2.146128036,10,1,0.270256862,0.003111037,0,1
Coracina_ceramensis,0,0,NA,1,71.06591435,1.681241237,0,47.5,0.221881583,0.00090938,0,0
Coracina_cinerea,0,0,NA,1,88.98953892,1.673941999,0,19.5,0.502401799,0.003238432,0,1
Coracina_coerulescens,0,0,NA,1,70.99312583,1.798650645,0,17,0.387511879,0.001608135,0,0
Coracina_dispar,0,0,NA,1,149.8555421,1.83225337,0,47,0.345773317,0.001101188,0,0
Coracina_dohertyi,0,0,NA,1,100.728901,1.83225337,0,37,0.520594478,0.000937751,0,0
Coracina_fimbriata,0,0,NA,1,141.5726627,1.46686762,0,55,0.180161126,0.000573251,0,0
Coracina_fortis,0,0,NA,1,24.92038712,1.83225337,10,48,0.224082112,0.000905886,0,0
Coracina_graueri,0,0,NA,1,80.36253283,1.83225337,0,80,0.205634803,0.000916998,0,0
Coracina_holopolia,0,0,NA,1,156.1160234,1.689308859,0,33.5,0.144208774,0.000609935,0,0
Coracina_incerta,0,0,NA,1,99.21286705,1.770115295,0,76,0.15436776,0.000554368,0,0
Coracina_javensis,0,0,NA,1,24.76817132,1.83225337,0,5,0.427029639,0.000617422,0,0
Coracina_larvata,0,0,NA,1,68.76282001,1.83225337,0,45,0.152814329,0.000553138,0,0
Coracina_leucopygia,0,0,NA,1,35.4534018,1.83225337,20,62.5,0.217291869,0.000441683,0,0
Coracina_lineata,0,0,0,1,31.92906804,1.920141074,0,44,0.302235872,0.002649223,0,1
Coracina_longicauda,0,0,0,1,81.99088235,2.004321374,0,73,0.15173085,0.000505952,0,0
Coracina_macei,0,0,NA,1,41.90364159,1.83225337,10,17,0.668647468,0.005007829,0,1
Coracina_maxima,0,0,0,1,10.03222926,2.103803721,33,5,0.432461426,0.008514415,0,1
Coracina_mcgregori,0,0,NA,1,24.63965845,1.629409599,0,43,0.188408315,0.000703798,0,0
Coracina_melanoptera,0,0,0,1,136.5256306,1.477121255,20,14,0.74426198,0.005902729,1,1
Coracina_melas,0,0,NA,1,160.2113785,1.774516966,0,75,0.165014774,0.000638036,0,0
Coracina_melaschistos,0,0,0,1,85.27851071,1.633468456,0,20,0.50032407,0.009617919,1,1
Coracina_mindanensis,0,0,NA,1,136.7606226,1.768638101,0,32,0.26220265,0.001110978,0,1
Coracina_montana,0,0,NA,1,114.8007203,1.898999271,0,75,0.148388281,0.000496721,0,0
Coracina_morio,0,0,NA,1,94.13356293,1.767155866,0,59,0.21743986,0.00043493,0,0
Coracina_newtoni,0,0,0,1,45.74730765,1.83225337,0,26,0.321700633,0.002830855,0,1
Coracina_novaehollandiae,0,0,0,1,10.52541845,2.071882007,33,5,0.435785085,0.008010169,1,2
Coracina_ostenta,0,0,0,1,134.1163892,1.83225337,0,19.5,0.402378321,0.000943936,0,0
Coracina_papuensis,0,0,0,1,35.37582813,1.808676088,20,17,0.368329555,0.005445788,0,2
Coracina_parvula,0,0,NA,1,9.715242024,1.83225337,0,73,0.189650029,0.000390122,0,0
Coracina_pectoralis,0,0,0,1,53.25574848,1.7355989,0,29,0.826396495,0.002523415,0,1
Coracina_personata,0,0,NA,1,81.88046915,1.83225337,0,30.5,0.520594478,0.001014184,0,1
Coracina_polioptera,0,0,NA,1,36.54311179,1.553883027,0,34,0.679412574,0.002376619,0,0
Coracina_schistacea,0,0,NA,1,95.63463766,1.83225337,0,18,0.23130627,0.000905886,0,0
Coracina_schisticeps,0,0,NA,1,83.77508166,1.722633923,0,77,0.144136161,0.000628416,0,0
Coracina_striata,0,0,0,0,36.41252639,2.045322979,0,45,0.195415512,0.000625097,0,1
Coracina_sula,0,0,NA,1,55.73234772,1.83225337,0,9,0.222582482,0.000688336,0,0
Coracina_temminckii,0,0,NA,1,9.447119915,1.83225337,0,71,0.206190005,0.000427981,0,0
Coracina_tenuirostris,0,0,0,1,88.84097848,1.78604121,0,40,0.255926684,0.002124112,1,2
Coracina_typica,0,0,0,1,129.590138,1.632457292,0,5,0.259712726,NA,0,1
Hemipus_hirundinaceus,0,0,0,1,28.21572293,1.008600172,0,52,0.182491392,0.000563502,0,0
Hemipus_picatus,0,0,0,1,36.61960292,0.954242509,10,30,0.612924874,0.003642532,0,1
Lalage_atrovirens,0,0,0,1,31.40216463,1.51851394,0,79,0.153850496,0.000412783,0,0
Lalage_aurea,0,0,NA,1,68.99898441,1.505149978,0,73,0.189650029,0.000390122,0,0
Lalage_leucomela,0,0,0,1,47.33840704,1.487395764,0,32,0.385388285,0.002517311,0,1
Lalage_leucopyga,1,0,NA,1,62.03544376,1.385606274,100,2,0.260108829,0.003066136,0,0
Lalage_leucopygialis,0,0,NA,1,35.57999,1.470116353,0,56,0.223384306,0.000453626,0,1
Lalage_maculosa,0,0,NA,1,57.33801249,1.481442629,100,4,0.274766803,0.001749168,0,1
Lalage_melanoleuca,0,0,NA,1,51.84492717,1.670245853,0,32.5,0.25934431,0.001089949,0,0
